Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Seed
60,30.0,0,0,15,15,825.1574,103.4098,7449.8921,1057.3506,46.4759,88
60,30.0,0,0,15,15,1010.5593,105.7035,8965.8306,1315.2989,53.3168,89
60,30.0,0,0,14,14,1166.2522,106.0184,9629.0698,1422.0188,49.1351,90
60,30.0,0,0,14,14,1122.8338,106.1458,10644.5441,2021.0298,46.6341,91
60,30.0,0,0,13,13,768.184,104.1426,7743.1836,1805.6177,44.0694,92
60,30.0,0,0,14,14,2088.6086,105.2184,14054.7988,2586.4231,55.2523,93
60,30.0,0,2,14,14,1793.8557,106.0622,10303.0981,1620.5938,49.8505,94
60,30.0,0,1,17,17,1255.7804,104.8689,9282.4124,3780.64,56.04,95
70,35.0,0,0,16,16,1568.9538,106.0039,12155.6733,1928.5786,55.6303,96
70,35.0,0,0,14,14,1199.5286,106.8412,11937.8564,1211.7622,42.9593,97
70,35.0,0,2,17,17,1237.7682,108.7498,10124.3529,2045.1104,43.7562,98
70,35.0,0,1,16,16,1066.8554,106.7345,10097.0977,1070.9028,45.2862,99
70,35.0,0,0,15,15,1601.0616,105.6182,11611.082,1934.1974,42.7743,100
70,35.0,0,0,16,16,1035.4425,108.1973,9766.2602,2044.8401,47.4287,101
70,35.0,0,2,17,17,1555.4193,107.9589,10565.4773,204.7691,48.0286,102
70,35.0,0,1,16,16,1685.0523,108.8816,14841.1579,191.1326,58.5367,103
70,35.0,0,1,15,15,2651.4589,109.2273,19442.1077,2138.2273,54.6824,104
70,35.0,0,0,16,16,1011.5344,86.6279,8155.0221,2075.2689,46.4526,105
80,40.0,0,0,16,16,1242.6339,107.767,11492.6587,5765.1486,42.7531,106
80,40.0,0,2,17,17,1567.3243,88.4895,12272.6686,5000.4737,46.1158,107
80,40.0,0,0,17,17,2376.8054,109.4781,17121.8154,5609.3589,56.3564,108
80,40.0,0,1,17,17,1908.4843,109.3844,15875.3174,5370.4004,59.2929,109
80,40.0,0,0,17,17,1162.5433,52.941,8440.1927,4092.0582,47.4855,110
80,40.0,0,0,17,17,1499.6821,107.2484,13126.5326,7660.6669,56.8301,111
80,40.0,0,0,17,17,1524.1612,107.2622,14428.8569,4801.4669,58.1307,112
80,40.0,0,0,17,17,1800.7052,107.4418,14442.2269,7830.3516,61.7904,113
80,40.0,0,2,16,16,2282.5667,111.4762,13965.1364,2565.5453,42.597,114
80,40.0,0,0,14,14,1873.8284,106.8172,15160.0251,3694.161,49.025,115
90,45.0,0,1,17,17,3328.9247,111.1698,21110.4856,1540.4652,76.8626,116
90,45.0,0,0,15,15,1300.5747,90.5464,10860.1744,2560.839,50.7351,117
90,45.0,0,0,15,15,2490.8153,109.9675,17346.5346,2699.8932,52.5457,118
90,45.0,0,0,17,17,1879.0227,108.9041,15780.6256,1229.3087,60.3786,119
90,45.0,0,0,17,17,1711.1141,108.8825,14374.4924,9695.7971,67.2139,120
90,45.0,0,0,16,16,1663.4528,107.912,11727.192,1012.1563,61.1507,121
90,45.0,0,0,17,17,1894.6962,111.2045,13155.9226,4164.2804,54.8376,122
90,45.0,0,0,17,17,1812.4645,47.1896,11988.436,1104.2277,60.6623,123
90,45.0,0,0,17,17,1532.76,64.397,11072.3353,978.5161,54.0278,124
90,45.0,0,2,17,17,1962.8221,77.4042,15235.921,1006.7444,60.2128,125
100,50.0,0,0,17,17,3331.5895,109.8992,18821.5174,8201.3405,86.913,126
100,50.0,0,3,16,16,6404.2813,115.1949,28796.1207,1408.2436,71.5593,127
100,50.0,0,0,17,17,2530.6342,55.4673,14486.8274,1184.1963,70.9937,128
100,50.0,0,0,17,17,2804.5393,108.7649,16361.0097,307.9357,79.6724,129
100,50.0,0,0,17,17,2000.3512,111.4604,15371.5464,2016.0724,69.5618,130
100,50.0,0,0,17,17,2873.0931,111.3927,17304.6872,9328.2164,75.1683,131
100,50.0,0,0,17,17,3854.14,111.0562,19635.1367,975.9869,66.5559,132
100,50.0,0,0,17,17,3860.0979,109.9391,19308.1942,1417.7056,68.7138,133
100,50.0,0,2,17,17,3159.0792,112.7611,22010.5401,1853.9116,75.6163,134
100,50.0,0,0,17,17,2885.2014,108.6746,17325.9685,2935.9596,65.3976,135
