Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Seed
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1001
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1002
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1003
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1004
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1005
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1006
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1007
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1008
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1009
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1010
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1011
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1012
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1013
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1014
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1015
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1016
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1017
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1018
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1019
0,0.0,0.0,0,0,0,1147.9804,97.0196,13898.7415,9490.6441,56.689,1020
10,5.0,2.5,0,0,0,1158.0715,98.9547,12577.0609,9651.5885,58.636,1021
10,5.0,2.5,0,0,0,1185.0928,102.3946,12915.1022,9655.0703,56.9905,1022
10,5.0,2.5,0,0,0,1065.1957,101.8182,13268.3872,9654.4938,55.6338,1023
10,5.0,2.5,0,0,0,1283.6464,99.2033,12134.6418,9600.8389,55.7905,1024
10,5.0,2.5,1,0,1,1205.4805,101.5299,12356.5434,9654.1917,56.9573,1025
10,5.0,2.5,0,0,0,1351.8531,100.3372,12231.2995,9655.981,57.5366,1026
10,5.0,2.5,0,0,0,1146.2338,99.2159,11745.47,9606.8483,56.0133,1027
