Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Vmin_24h,Vmax_24h,Sev_Vmin_pct,Sev_Vmax_pct,Sev_VminVmax_pct,Seed
40,0,0,0,11,11,969.0191,97.0196,9473.2755,-5082.5986,50.2162,0.9622,1.0918,0.0,14.951,14.951,142
40,0,0,0,11,11,969.0191,97.0196,8934.2454,-90.0346,50.2162,0.9622,1.0797,0.0,14.951,14.951,143
40,0,0,0,14,14,969.0191,97.0196,9233.8914,-2404.2977,50.2162,0.9622,1.1021,0.0,14.951,14.951,144
40,0,0,0,12,12,969.0191,97.0196,10006.3172,-5095.0501,50.2162,0.9622,1.1381,0.0,14.2157,14.2157,145
40,0,0,0,4,4,969.0191,73.4879,7775.4444,1976.4667,50.2162,0.9622,1.0611,0.0,4.4118,4.4118,146
40,0,0,0,13,13,969.0191,97.0196,9611.3081,-3980.478,50.2162,0.9622,1.0971,0.0,11.7647,11.7647,147
40,0,0,0,8,8,969.0191,97.0196,10666.7091,-1104.4103,50.2162,0.9622,1.1425,0.0,10.2941,10.2941,148
40,0,0,0,8,8,969.0191,97.0196,7918.231,444.5592,50.2162,0.9622,1.095,0.0,11.2745,11.2745,149
40,0,0,0,9,9,969.0191,97.0196,10262.3244,-3798.0149,50.2162,0.9622,1.134,0.0,13.7255,13.7255,150
50,0,0,0,12,12,969.0191,97.0196,8904.9238,-8371.7922,50.2162,0.9622,1.0949,0.0,13.7255,13.7255,151
50,0,0,0,14,14,969.0191,97.0196,9947.9423,-10557.6084,50.2162,0.9622,1.0989,0.0,19.3627,19.3627,152
50,0,0,0,15,15,969.0191,66.9242,7590.1475,-5704.5655,50.2162,0.9622,1.089,0.0,19.3627,19.3627,153
50,0,0,0,12,12,969.0191,97.0196,9140.0442,-6600.5491,50.2162,0.9622,1.1361,0.0,17.6471,17.6471,154
50,0,0,0,12,12,969.0191,97.0196,10939.1598,-11932.0461,50.2162,0.9622,1.1698,0.0,17.8922,17.8922,155
50,0,0,0,12,12,969.0191,97.0196,10218.4996,-7067.0467,50.2162,0.9622,1.1372,0.0,17.402,17.402,156
50,0,0,0,15,15,969.0191,97.0196,10226.7738,-8499.7316,50.2162,0.9622,1.1571,0.0,20.8333,20.8333,157
50,0,0,0,12,12,1396.9621,97.0196,13243.3113,-8801.3868,50.2162,0.9622,1.1826,0.0,19.3627,19.3627,158
50,0,0,0,10,10,969.0191,97.0196,8807.2474,-5356.724,50.2162,0.9622,1.112,0.0,15.6863,15.6863,159
50,0,0,0,14,14,969.0191,97.0196,11140.863,-8312.059,50.2162,0.9622,1.1728,0.0,18.1373,18.1373,160
60,0,0,0,11,11,1940.3379,97.0196,14743.6254,-12658.4838,50.2162,0.9622,1.2254,0.0,19.1176,19.1176,161
60,0,0,0,15,15,969.0191,97.0196,8312.4162,-12190.2653,50.2162,0.9622,1.1178,0.0,20.098,20.098,162
60,0,0,0,12,12,969.0191,97.0196,9929.4921,-12634.7559,50.2162,0.9622,1.1062,0.0,21.8137,21.8137,163
60,0,0,0,12,12,969.0191,97.0196,11313.6634,-15271.531,50.2162,0.9622,1.134,0.0,20.5882,20.5882,164
60,0,0,0,14,14,969.0191,97.0196,10264.5002,-11833.0567,50.2162,0.9622,1.1223,0.0,22.549,22.549,165
60,0,0,0,17,17,1016.3788,97.0196,11249.0479,-21076.907,50.2162,0.9622,1.1737,0.0,23.5294,23.5294,166
60,0,0,0,15,15,969.0191,97.0196,9760.9765,-12446.9532,50.2162,0.9622,1.1439,0.0,23.5294,23.5294,167
60,0,0,0,15,15,1323.3943,97.0196,12691.0396,-21116.2832,50.2162,0.9622,1.1898,0.0,21.3235,21.3235,168
60,0,0,0,13,13,1572.0932,97.0196,13833.4882,-16475.2236,50.2162,0.9622,1.2109,0.0,19.6078,19.6078,169
60,0,0,0,12,12,1169.3483,97.0196,12205.1507,-11467.4863,50.2162,0.9622,1.1616,0.0,21.5686,21.5686,170
